transactionHash,blockNumber,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamp
f647c63eeda027e9cd38bdcd653093505dba0f1c5094e6281a26b1778b14f7d8,19989273,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x7A51423949406937caFb3371a9ac7fa101E103FD,0,65000000000000000,99491205094284897091,0,2024-05-31 10:38:59
15f14fffce6c584389e0d887e83d12adbf27e34602debbba6cfd3b5f1f930f77,19990104,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x1CbfB4747Aa45237d710bE96f832EBD75Dd108A6,0,100000000000000000,152708738993784750935,0,2024-05-31 13:27:11
2cad470092fe04dcff232079f2c250f8d08e4a026171a84251f2b95731576a69,19990246,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,94515500000000000000,0,0,61555181526296674,2024-05-31 13:56:11
995e9371c7ca010abf2ebd2af1af8d71dcfa92112808d8d31849322a8b612fea,19991121,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,95000000000000000000,0,0,61763224008136314,2024-05-31 16:51:35
ed977711e1084ab85f2a347865884723066f10ff8558b524866de812046e20f7,19992384,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,57670349952319927000,0,0,37441284622978026,2024-05-31 21:05:35
b247a06ca2f38c692b7711edac23db4fafc7685e482de6f4aaa4edc115dcc665,19992829,0x1111111254EEB25477B68fb85Ed929f73A960582,0xa7Ca2C8673bcFA5a26d8ceeC2887f2CC2b0Db22A,0,60000000000000000,91834773324452896493,0,2024-05-31 22:35:35
b4055f5ccacccc50fbbcc32a4b60de1da4f3520c98f1d9d3235688d406cf0bc7,19992878,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,475000000000000000000,0,0,307404604911696436,2024-05-31 22:45:23
af8bc44992c0c2a7b74f2f1822e4b837cce31276af1710adb52c71bd0f03bac5,19992998,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,35150000000000000000,0,0,22641873718706777,2024-05-31 23:09:35
e48f6dc1b7cb041a6af9c69314cb2aa3a08f579185d41fe071c8713020b34ff7,19993088,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,189999999641371260800,0,0,122137670202230591,2024-05-31 23:27:47
16a5870f18f88bd00d3e511e6f8c9e403ee0ddc542c76192f2d6f35286ce8715,19993735,0xE37e799D5077682FA0a244D46E5649F71457BD09,0xE37e799D5077682FA0a244D46E5649F71457BD09,108863372997605732864,0,0,69790157187575076,2024-06-01 01:38:11
56edfbfcf22ae20f50f2bd9a7e5ed14166d367d373291a061eb410516bc21e33,19995370,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,7643017520375181883,0,0,4894584470049678,2024-06-01 07:07:11
325622f3f1fbb4cca1b73e22f9b0d6f53b80675ce55c8c8e734ab78bc5823e2e,19995905,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x1112956589a2BEa1B038732db4eA6B0c416ef130,237500000000000000000,0,0,151756697032343945,2024-06-01 08:54:11
e19600d6dd36acb8816af94b96ef48b3ef60c9650939679dcf3e73c6509bd291,19995910,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x0b85B3000BEf3E26e01428D1b525A532eA7513b8,232750000000000000000,0,0,148087668546869799,2024-06-01 08:55:11
ed1ca26bd521e593470cabfe710b4abb650fc83d8cb8af58c7c3332b895c65fc,19995926,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xeEDfF72A683058F8FF531e8c98575f920430FdC5,213750000000000000000,0,0,135449527960936079,2024-06-01 08:58:23
78367cec3db1ad689774b26c0d804a1b6c476fa59dd61b06e097e09d288a55e1,19995954,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x94749e8aE30Bc2AA5e127F868409E871f310c10b,259964876201405008980,0,0,164030882865814219,2024-06-01 09:04:11
8258caf04fb530b250e5c6a82fcd8dd8a0f28709b1cba13be35c13fc537433f9,19995995,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xF0a70f7A96bd86ED9c32Aaf0e550dAac965D4e7d,0,16281212408236811,25703180001230339925,0,2024-06-01 09:12:23
ea4ea4e7f210955e83af38afc8272a5d02e8033febb7480632dca0ef0b1c96c6,19996035,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xF0a70f7A96bd86ED9c32Aaf0e550dAac965D4e7d,0,8000000000000000,12625230637489244571,0,2024-06-01 09:20:35
8b39d2a7b92ea00a362d8964e3eef2cd28d4c6567e0503de98d1c15adac23f03,19996147,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x40aF85b57589e47DFbb5CBDDCB8A1CE340cd0684,0,30000000000000000,47318941287183776573,0,2024-06-01 09:43:11
042fd08f111321ff91de150a4adeabf94ad9e9745c3f0ebfaaa72c3ae4055f97,19996201,0xf081470f5C6FBCCF48cC4e5B82Dd926409DcdD67,0xf081470f5C6FBCCF48cC4e5B82Dd926409DcdD67,128919709935014383397,0,0,81185345757102535,2024-06-01 09:53:59
5e70aefb7942a9d2ad19e1eaef5de06d6754578bc924e1599ccd3a302b10aabd,19996623,0x1111111254EEB25477B68fb85Ed929f73A960582,0x74de5d4FCbf63E00296fd95d33236B9794016631,0,52536250000000000,82960539835623132849,0,2024-06-01 11:18:59
d78faf06271619e51cacaa9228b391e636443ed9e1499e3fed5ce28b3b1db15e,19996629,0x1111111254EEB25477B68fb85Ed929f73A960582,0x74de5d4FCbf63E00296fd95d33236B9794016631,0,79300000000000000,124987905349458511971,0,2024-06-01 11:20:11
9a6392a43071d640c7cba6a9e62b502b7f76cd9a6bc3f47bfb6e5eda11090d67,19996808,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x65a6934B93dCEFa23Aa1057c94b8B9fFDeb961f6,0,13607604088007906,21419025414901479141,0,2024-06-01 11:55:59
fb49cb17ce8b9ad3d5abdccde10a1bb61d1a5f436e629e7990d91ce6a544f039,19997261,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,722964005008777579388,0,0,453678800996378634,2024-06-01 13:27:23
aa69ce9295b9798485267639507f448579152001f989f928d6702c487967c7c1,19997338,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x364d93B9f9B2806B612Ada66a6B416DB6bDdB5d7,0,40000000000000000,63738646650235010485,0,2024-06-01 13:42:47
5f02e8a019bded7856aa8523debe9568213c23505de9a3d78c9fe8ed81415aa7,19997377,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x6509c8167b4C7BAE0a2b6640c37f12e17dbeA5b5,0,146240740000000000,232408530156039273769,0,2024-06-01 13:50:35
d7cfa56170c105d521b4f0aa7f713f1f265e1fce711653e14fde62a86bd2d1a3,19997627,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xb5fE2C3c85a1AE1251d9bc9BCc4572AD67F4d66E,0,768477629446287348,1205467151455759095074,0,2024-06-01 14:40:35
68df01806f5854c9375ca4830aa31911771e7ce13d465d48c3dbfcd5c6cf3290,19997637,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xf371A34f0347964846B0fa9E0bc572B3171c676d,0,141011247306420000,218348769556670036200,0,2024-06-01 14:42:35
0b8b569b9ba9ddf455dd2bcde11dd277ae487ccf8e95067374fc83c4078de55f,19997703,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1007440948710311681612,0,0,642116586251808319,2024-06-01 14:55:47
7ea6103ca0abffe62614fb2420c18b456d11d7f4b926ea4a5a10c9e795277485,19997992,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7FD707dc9a717f9688179e407EaF688216083dDC,0,21035264320000000,33097327850389513757,0,2024-06-01 15:53:47
322027f0a1cf6181d2ddd26d2fd479739e90595a6f62c8be43fab7e5330dbb41,19998020,0xd42b0ECF8A9f8ba9Db7B0c989d73cf0Bd5f83b66,0xc7bBeC68d12a0d1830360F8Ec58fA599bA1b0e9b,243215296568620097832,0,0,153360875990698616,2024-06-01 15:59:23
1fe9c920fbe43207daf5904826dbb7b6d0f194115f74246edd8d90850987272d,19998073,0xD2A52F45C74b358ABE1428bC43F0ce9dDf130780,0x99d9b5319c1c21D9e2D7B0E1be6d4BB5b1437AB8,0,46885712302860607,74023855594596706953,0,2024-06-01 16:09:59
8f2019166c44cfde143f17e96ff73270143b9225ce5f4c11f546835647698e06,19998148,0xD2A52F45C74b358ABE1428bC43F0ce9dDf130780,0xe78eAC03FB6153fDe017fD225F142a77a66bc60B,0,40270141204532581,63500000000000000344,0,2024-06-01 16:24:59
0f8ee7ca9dcbce745c949b5827561667bf00eadb052197bd025098ccaffdd095,19998894,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xE14aA03D0e4527ba7E7076131AEE39c19dfe54d0,0,322000000000000000,505135767617658551871,0,2024-06-01 18:54:59
5ce18dcc764aa13eb7d3f6a1c3b3b0c3a6a7273b0e7f8805a58479185177da52,19999035,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x5aA0E75507d876B3a9885c772C1DD6850b0BF36c,0,300000000000000000,466482133284736542314,0,2024-06-01 19:23:23
76d0000462ba14d2daa94c356d9ee19bb1ed1cb25a40400d9b429a26d48942f5,19999117,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xb51d79DC4909BEA35De9083B17Bc1AB5D903283F,0,13440000000000000,20805626849101896049,0,2024-06-01 19:39:47
227e3f3ca9e4ad7ea7f4618c02ed16b29958aded475e7f405ee018094c679d3b,19999322,0x1111111254EEB25477B68fb85Ed929f73A960582,0x74de5d4FCbf63E00296fd95d33236B9794016631,0,39650000000000000,61333666584408807922,0,2024-06-01 20:20:47
5a7d2bf673336b6ae4562979a455b6ede7ceff8317ef4f232564572ab5ba2a02,19999407,0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,0x22F9dCF4647084d6C31b2765F6910cd85C178C18,0,33735883367442134,52131141403095369118,0,2024-06-01 20:37:59
19fb5a6e6c973be1e137f0e785d2001960a1fefe8a04427d9adf3d2f4f7be7a7,19999589,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x22a42792c8Ab676E934059391fe9Fb9d1580928F,0,220000000000000000,338746365473787466921,0,2024-06-01 21:14:35
d9dd167e278553c9a74d95fb4ee245f2e0a828baf15c81ea00985e7066b42e94,19999651,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,144789461051065593286,0,0,93637787253718868,2024-06-01 21:26:59
7654eabfbf3ac39309619eeeb645cb125e7332753f6c0c46137a04f40fb31125,19999713,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x4eE346cF18DF389e1D2BEE0659485bBBD09A9f49,0,5996227866986537,9227697161531660596,0,2024-06-01 21:39:23
b3eb8122f7c9ab419ca214a1d140db3c64c48a30fb5f57ee0e9a0a4404a59ffe,20000078,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x47c1E331B0862FCeF6193689438729FDf25CE695,0,100000000000000000,153662294861841354815,0,2024-06-01 22:52:23
0c63ae3982147ff75ea75ff90ae99c5a9692b5c02e86431e565691a55c755496,20000294,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,455000000000000000000,0,0,293525427157259923,2024-06-01 23:35:47
0de73c76febb43d167cdae9a9f78009d5caf1a00f06323a23d2085b7469f2d6e,20001715,0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,0x22F9dCF4647084d6C31b2765F6910cd85C178C18,0,28931303933868300,44745940754807326538,0,2024-06-02 04:21:23
c8c55a87e7a0b3d7032cef7be11500b6f4e457b3b5567a68c5e67e3e2959ac69,20001988,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xb8174a969a1743975B9057b004D4Fed76B58ff3a,0,35298707214793645,54544405505019819330,0,2024-06-02 05:16:11
5268046fa3a2f822431f205a3a7a4a528efb52691f4e1390dafdb67166df076f,20002115,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x73AA050cb315F9CB21C1738f1ce10608F62A17af,0,191898306357404000,295577586000998916134,0,2024-06-02 05:42:11
478e12a649d6a49a1d12eeecaaca7479628b898756c28cae2e4529bf38abdcfe,20002715,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,178525088623278171286,0,0,115334556077319088,2024-06-02 07:42:35
740ec4e4853d4c269ca15a135268c7272a867b2b70039947444e9e85f7e6ce85,20002886,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,455000000000000000000,0,0,292256634853500475,2024-06-02 08:16:59
415a037113bccf5234633c2590d4a2822da329142f3de505890e2ec1e72c15bb,20003102,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xA3030e2dD4875313f6392B7Af5497b47BD10e991,0,1837930717254100,2856000415288485329,0,2024-06-02 09:00:11
776db29bf1f6680adb714b63ca127bafd8fe77d3d5b0428362986fe032291b61,20003389,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x7C4f9Fd53Cf62A8a43EbAaa212da44430006761D,0,560000000000000,870166555364237465,0,2024-06-02 09:57:59
722453b44af23205420f065c23b0ef0bc692e5a6522f1f167ab94ce466cd58ac,20003888,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,431337385201280507377,0,0,274852134517947414,2024-06-02 11:38:59
d57c66ef349ffa54494d20fe9ce396290ce733c388b73b509d82521ecee9bac1,20004238,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x13ecF083A765681F4729D0c9f5531531C64B3762,0,10800000000000000,16910947057313607225,0,2024-06-02 12:48:59
3081106252edc9497b32a866964437da6866d093b58c5e90309d7b91065a4523,20004549,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,305176600655335128950,0,0,193226680436867371,2024-06-02 13:51:35
f6b7096bb98f47977b08cacd07f9265e49f4b273a228c293a03ce12a6809df5c,20004737,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x1ca6AED2c6fccdA4FCCfF81332ce8f98EB85259D,0,14500000000000000,22821988391049899881,0,2024-06-02 14:29:23
28c807cec09be4d2bbe2fd75a7517a8152b6b8b7c8ae18bd15bf89f4973f06c4,20004939,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,500500000000000000000,0,0,314733018170556146,2024-06-02 15:10:11
a89c23c3149cf71f7fc8ae0d7b088132dd9e9d078ddce58bfc3fc22ed95a60b1,20005015,0xD2A52F45C74b358ABE1428bC43F0ce9dDf130780,0xe78eAC03FB6153fDe017fD225F142a77a66bc60B,0,39698359014053710,63000000000000000480,0,2024-06-02 15:25:35
007c11c095831b935a83bc950dc3753f054165d7c5c8c01a13d9a49c24ab6e4b,20005136,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xf371A34f0347964846B0fa9E0bc572B3171c676d,0,61684094450563199,97748730308693278362,0,2024-06-02 15:49:47
91760b4d9f7ef356d06d0fd2d34281c85b755e68a928d39e6f4f57e75b4cd484,20005388,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,91000000000000000000,0,0,57085053845609376,2024-06-02 16:40:23
48c48538abc564c3b55047fca799a20874ea5cf4e01f9bec8956327ceb287f36,20005430,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,45500000000000000000,0,0,28507458841041976,2024-06-02 16:48:47
09db68ccb90d7d1160466355720213aaaa48b36664d7aa6d7481128ad20845d2,20005500,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,45500000000000000000,0,0,28484130093912625,2024-06-02 17:02:47
a49628ee6155d36bccacc6841b9a96b740a9e2cc52ed1be8933a210abe8d216d,20005899,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x7Da533f914a5EB8b5529a19BDd2d69Ee58E0a8d4,0,82247761150678202,130493876514867790256,0,2024-06-02 18:22:47
